INSCRICAO_IMOBILIARIA;CONTRIBUINTE;ENDERECO;QUADRA;LOTE;AREA_LOTE;AREA_UNIDADE;TESTADA_M;OCUPACAO;SITUACAO
406.800.0040.000;SPE RESIDENCIAL BELEM LTDA;JAIRO BELEM SOARES RIBEIRO, 0, QD.01 LT.01;01;01;365,51;0;40,02;Vago;Ativo
406.800.0054.000;SPE RESIDENCIAL BELEM LTDA;JAIRO BELEM SOARES RIBEIRO, 0, QD.01 LT. 02;01;02;314,14;0;7,82;Vago;Ativo
406.800.0066.000;SPE RESIDENCIAL BELEM LTDA;JAIRO BELEM SOARES RIBEIRO, 0, QD.01 LT. 03;01;03;300;0;12;Vago;Ativo
406.800.0078.000;SPE RESIDENCIAL BELEM LTDA;JAIRO BELEM SOARES RIBEIRO, 0, QD.01 LT. 04;01;04;301,49;0;12;Vago;Ativo
406.800.0090.000;SPE RESIDENCIAL BELEM LTDA;JAIRO BELEM SOARES RIBEIRO, 0, QD.01 LT.05;01;05;302,8;0;12;Vago;Ativo
406.800.0102.000;SPE RESIDENCIAL BELEM LTDA;JAIRO BELEM SOARES RIBEIRO, 0, QD.01 LT. 06;01;06;304,1;0;12;Vago;Ativo
406.800.0114.000;SPE RESIDENCIAL BELEM LTDA;JAIRO BELEM SOARES RIBEIRO, 0, QD.01 LT. 07;01;07;305,41;0;12;Vago;Ativo
406.800.0126.000;SPE RESIDENCIAL BELEM LTDA;JAIRO BELEM SOARES RIBEIRO, 0, QD.01 LT. 08;01;08;306,71;0;12;Vago;Ativo
406.800.0138.000;SPE RESIDENCIAL BELEM LTDA;JAIRO BELEM SOARES RIBEIRO, 0, QD.01 LT. 09;01;09;308,02;0;12;Vago;Ativo
406.800.0150.000;SPE RESIDENCIAL BELEM LTDA;JAIRO BELEM SOARES RIBEIRO, 0, QD.01 LT. 10;01;10;309,32;0;12;Vago;Ativo
406.800.0162.000;SPE RESIDENCIAL BELEM LTDA;JAIRO BELEM SOARES RIBEIRO, 0, QD.01 LT.11;01;11;310,63;0;12;Vago;Ativo
406.800.0174.000;SPE RESIDENCIAL BELEM LTDA;JAIRO BELEM SOARES RIBEIRO, 0, QD.01 LT. 12;01;12;311,93;0;12;Vago;Ativo
