Origem,Inscrição,Endereço,Matrícula,Dívidas
Imóvel,101.165.0706.000,"Rua JOSE NETO PARANHOS         0 QD. 41 LT. 62 BAIRRO JUNDIAI, Qt.Qd.Lt.SubLt. 41 62",101.165.0706.000,"[{'Situação': 'Dívida Parcelada', 'Divida': [{'Ano': '2023', 'Mês': '09', 'Tributo': 'Parcelam/Div/Aj', 'Valor Atual': 2327.45, 'Juros': 14.19, 'Multa': 18.89, 'Total': '2360.53', 'Vencidas': 2, 'A Vencer': 3}], 'Total Origem': 2360.53}]"
Imóvel,104.063.0283.001,"Avenida PB 1          S/N QD: 30 LT: 14 PARQUE BRASILIA I E II ETAPA, Qt.Qd.Lt.SubLt. 30 14",104.063.0283.001,"[{'Situação': 'Dívida Corrente', 'Divida': [{'Ano': '2023', 'Mês': '01', 'Tributo': 'IPTU', 'Valor Atual': 581.84, 'Juros': 37.82, 'Multa': 98.91, 'Total': '718.57', 'Vencidas': 4, 'A Vencer': 0}, {'Ano': '2023', 'Mês': '01', 'Tributo': 'TSU', 'Valor Atual': 81.06, 'Juros': 6.48, 'Multa': 16.21, 'Total': '103.75', 'Vencidas': 1, 'A Vencer': 0}, {'Ano': '2021', 'Mês': '01', 'Tributo': 'IPTU - DA', 'Valor Atual': 577.69, 'Juros': 179.08, 'Multa': 115.54, 'Total': '872.31', 'Vencidas': 1, 'A Vencer': 0}, {'Ano': '2021', 'Mês': '01', 'Tributo': 'TSU - DA', 'Valor Atual': 94.79, 'Juros': 29.38, 'Multa': 18.96, 'Total': '143.13', 'Vencidas': 1, 'A Vencer': 0}, {'Ano': '2022', 'Mês': '01', 'Tributo': 'IPTU - DA', 'Valor Atual': 581.83, 'Juros': 116.37, 'Multa': 116.37, 'Total': '814.57', 'Vencidas': 1, 'A Vencer': 0}, {'Ano': '2022', 'Mês': '01', 'Tributo': 'TSU - DA', 'Valor Atual': 85.84, 'Juros': 17.17, 'Multa': 17.17, 'Total': '120.18', 'Vencidas': 1, 'A Vencer': 0}], 'Total Origem': 2772.51}]"
Imóvel,104.433.0025.000,"Avenida CEREJEIRAS         0 QD- 19 LT- 13 RESIDENCIAL CEREJEIRAS, Qt.Qd.Lt.SubLt. 19 13",104.433.0025.000,"[{'Situação': 'Dívida Corrente', 'Divida': [{'Ano': '2023', 'Mês': '05', 'Tributo': 'Capinação e Roç', 'Valor Atual': 590.62, 'Juros': 29.53, 'Multa': 47.25, 'Total': '667.40', 'Vencidas': 1, 'A Vencer': 0}, {'Ano': '2023', 'Mês': '11', 'Tributo': 'Capinação e Roç', 'Valor Atual': 590.62, 'Juros': 0.0, 'Multa': 0.0, 'Total': '590.62', 'Vencidas': 0, 'A Vencer': 1}, {'Ano': '2022', 'Mês': '10', 'Tributo': 'Capin. RoçaD.A', 'Valor Atual': 555.88, 'Juros': 61.15, 'Multa': 111.18, 'Total': '728.21', 'Vencidas': 1, 'A Vencer': 0}], 'Total Origem': 1986.23}]"
Imóvel,104.433.0041.000,"Avenida CEREJEIRAS         0 QD- 19 LT- 12 RESIDENCIAL CEREJEIRAS, Qt.Qd.Lt.SubLt. 19 12",104.433.0041.000,"[{'Situação': 'Dívida Corrente', 'Divida': [{'Ano': '2023', 'Mês': '11', 'Tributo': 'Capinação e Roç', 'Valor Atual': 424.95, 'Juros': 0.0, 'Multa': 0.0, 'Total': '424.95', 'Vencidas': 0, 'A Vencer': 1}, {'Ano': '2023', 'Mês': '05', 'Tributo': 'Capinação e Roç', 'Valor Atual': 424.95, 'Juros': 21.25, 'Multa': 34.0, 'Total': '480.20', 'Vencidas': 1, 'A Vencer': 0}, {'Ano': '2022', 'Mês': '10', 'Tributo': 'Capin. RoçaD.A', 'Valor Atual': 399.96, 'Juros': 44.0, 'Multa': 79.99, 'Total': '523.95', 'Vencidas': 1, 'A Vencer': 0}], 'Total Origem': 1429.1}]"
Imóvel,104.433.0057.000,"Avenida CEREJEIRAS         0 QD- 19 LT- 11 RESIDENCIAL CEREJEIRAS, Qt.Qd.Lt.SubLt. 19 11",104.433.0057.000,"[{'Situação': 'Dívida Corrente', 'Divida': [{'Ano': '2023', 'Mês': '05', 'Tributo': 'Capinação e Roç', 'Valor Atual': 431.12, 'Juros': 21.56, 'Multa': 34.49, 'Total': '487.17', 'Vencidas': 1, 'A Vencer': 0}, {'Ano': '2023', 'Mês': '11', 'Tributo': 'Capinação e Roç', 'Valor Atual': 431.12, 'Juros': 0.0, 'Multa': 0.0, 'Total': '431.12', 'Vencidas': 0, 'A Vencer': 1}, {'Ano': '2022', 'Mês': '10', 'Tributo': 'Capin. RoçaD.A', 'Valor Atual': 405.76, 'Juros': 44.63, 'Multa': 81.15, 'Total': '531.54', 'Vencidas': 1, 'A Vencer': 0}], 'Total Origem': 1449.83}]"
Imóvel,105.279.0351.002,"Avenida UNIVERSITARIA      2045 SALA: 02 RESIDENCIAL ARAUJOVILLE, Qt.Qd.Lt.SubLt. 01 14/17",105.279.0351.002,"[{'Situação': 'Dívida Parcelada', 'Divida': [{'Ano': '2023', 'Mês': '09', 'Tributo': 'Parcelamento DA', 'Valor Atual': 3109.6, 'Juros': 4.63, 'Multa': 18.44, 'Total': '3132.67', 'Vencidas': 2, 'A Vencer': 5}], 'Total Origem': 3132.67}]"
Imóvel,105.322.0262.000,"Rua TARSILA DO AMARAL         0 QD.13  LT.17 CONDOMÍNO RESIDENCIAL  BELAS ARTES, Qt.Qd.Lt.SubLt. 13 17",105.322.0262.000,"[{'Situação': 'Dívida Ativa', 'Divida': [{'Ano': '2022', 'Mês': '01', 'Tributo': 'CIP - DA', 'Valor Atual': 24.27, 'Juros': 4.85, 'Multa': 4.85, 'Total': '33.97', 'Vencidas': 1, 'A Vencer': 0}, {'Ano': '2022', 'Mês': '01', 'Tributo': 'ITU - DA', 'Valor Atual': 3498.6, 'Juros': 699.72, 'Multa': 699.72, 'Total': '4898.04', 'Vencidas': 1, 'A Vencer': 0}], 'Total Origem': 4932.01}]"
Imóvel,105.350.0307.000,"Rua GT 16         0 QD. 23 LT. 19 CONDOMÍNIO RESIDENCIAL GRAND TRIANON, Qt.Qd.Lt.SubLt. 23 19",105.350.0307.000,"[{'Situação': 'Dívida Corrente', 'Divida': [{'Ano': '2023', 'Mês': '01', 'Tributo': 'CIP', 'Valor Atual': 26.52, 'Juros': 2.12, 'Multa': 5.3, 'Total': '33.94', 'Vencidas': 1, 'A Vencer': 0}, {'Ano': '2023', 'Mês': '01', 'Tributo': 'ITU', 'Valor Atual': 2044.64, 'Juros': 92.01, 'Multa': 240.27, 'Total': '2376.92', 'Vencidas': 8, 'A Vencer': 0}], 'Total Origem': 2410.86}]"
Imóvel,105.373.0166.000,"Avenida CAMPOS DO JORDAO 01         0 QD.02 LT. 14 RESIDENCIAL CAMPOS DO JORDAO, Qt.Qd.Lt.SubLt. 02 14",105.373.0166.000,"[{'Situação': 'Dívida Corrente', 'Divida': [{'Ano': '2023', 'Mês': '01', 'Tributo': 'CIP', 'Valor Atual': 26.52, 'Juros': 2.12, 'Multa': 5.3, 'Total': '33.94', 'Vencidas': 1, 'A Vencer': 0}, {'Ano': '2023', 'Mês': '01', 'Tributo': 'ITU', 'Valor Atual': 1283.52, 'Juros': 57.76, 'Multa': 150.84, 'Total': '1492.12', 'Vencidas': 8, 'A Vencer': 0}], 'Total Origem': 1526.06}]"
Imóvel,105.373.0334.000,"Rua CJ-18         0 QD.02 LT. 23 RESIDENCIAL CAMPOS DO JORDAO, Qt.Qd.Lt.SubLt. 02 23",105.373.0334.000,"[{'Situação': 'Dívida Ativa', 'Divida': [{'Ano': '2022', 'Mês': '01', 'Tributo': 'CIP - DA', 'Valor Atual': 24.27, 'Juros': 3.88, 'Multa': 4.85, 'Total': '33.00', 'Vencidas': 1, 'A Vencer': 0}, {'Ano': '2022', 'Mês': '01', 'Tributo': 'ITU - DA', 'Valor Atual': 1283.51, 'Juros': 205.36, 'Multa': 256.7, 'Total': '1745.57', 'Vencidas': 1, 'A Vencer': 0}], 'Total Origem': 1778.57}]"
