Inscrição,Quadra,Lote,Origem,Tributo,Ano,Mês,Situação,Valor Atual,Juros,Multa,Total Divida,Vencidas,A Vencer
101.144.0344.000,--,--,Imóvel,IPTU,2024,01,Dívida Corrente,2179.6,0.0,0.0,2179.6,0,8
101.144.0344.000,--,--,Imóvel,TSU,2024,01,Dívida Corrente,596.4,0.0,0.0,596.4,0,4
101.144.0358.001,11,49,Imóvel,IPTU,2024,01,Dívida Corrente,2015.36,0.0,0.0,2015.36,0,8
101.144.0358.001,11,49,Imóvel,TSU,2024,01,Dívida Corrente,649.68,0.0,0.0,649.68,0,4
101.144.0358.002,11,49,Imóvel,IPTU,2024,01,Dívida Corrente,2142.88,0.0,0.0,2142.88,0,8
101.144.0358.002,11,49,Imóvel,TSU,2024,01,Dívida Corrente,690.8,0.0,0.0,690.8,0,4
101.144.0358.003,--,--,Imóvel,IPTU,2024,01,Dívida Corrente,2142.88,0.0,0.0,2142.88,0,8
101.144.0358.003,--,--,Imóvel,TSU,2024,01,Dívida Corrente,690.8,0.0,0.0,690.8,0,4
101.165.0113.001,--,--,Imóvel,IPTU,2024,01,Dívida Corrente,4406.16,0.0,0.0,4406.16,0,8
101.165.0113.001,--,--,Imóvel,TSU,2024,01,Dívida Corrente,1277.04,0.0,0.0,1277.04,0,8
101.165.0113.002,--,--,Imóvel,IPTU,2024,01,Dívida Corrente,3687.12,0.0,0.0,3687.12,0,8
101.165.0113.002,--,--,Imóvel,TSU,2024,01,Dívida Corrente,1156.16,0.0,0.0,1156.16,0,8
101.165.0706.000,41,62,Imóvel,Saldo Parc/DAju,2024,01,Ajuizada,2230.28,962.41,425.95,3618.64,1,0
101.165.0706.001,41,62,Imóvel,IPTU,2024,01,Dívida Corrente,3308.16,0.0,0.0,3308.16,0,8
101.165.0706.001,41,62,Imóvel,TSU,2024,01,Dívida Corrente,969.0,0.0,0.0,969.0,0,6
101.165.0956.000,41,15,Imóvel,CIP,2024,01,Dívida Corrente,42.48,0.0,0.0,42.48,0,1
101.165.0956.000,41,15,Imóvel,ITU,2024,01,Dívida Corrente,5706.48,0.0,0.0,5706.48,0,8
102.046.0042.000,--,--,Imóvel,IPTU,2024,01,Dívida Corrente,1278.32,0.0,0.0,1278.32,0,8
102.046.0042.000,--,--,Imóvel,TSU,2024,01,Dívida Corrente,437.79,0.0,0.0,437.79,0,3
102.093.0145.001,--,--,Imóvel,IPTU,2024,01,Dívida Corrente,419.5,0.0,0.0,419.5,0,2
102.093.0145.001,--,--,Imóvel,TSU,2024,01,Dívida Corrente,145.27,0.0,0.0,145.27,0,1
102.093.0145.002,--,--,Imóvel,IPTU,2024,01,Dívida Corrente,197.52,0.0,0.0,197.52,0,1
102.093.0145.002,--,--,Imóvel,TSU,2024,01,Dívida Corrente,78.03,0.0,0.0,78.03,0,1
102.093.0145.003,--,--,Imóvel,IPTU,2024,01,Dívida Corrente,137.73,0.0,0.0,137.73,0,1
102.093.0145.003,--,--,Imóvel,TSU,2024,01,Dívida Corrente,59.22,0.0,0.0,59.22,0,1
102.093.0145.004,--,--,Imóvel,IPTU,2024,01,Dívida Corrente,149.92,0.0,0.0,149.92,0,1
102.093.0145.004,--,--,Imóvel,TSU,2024,01,Dívida Corrente,59.22,0.0,0.0,59.22,0,1
102.243.0078.001,--,--,Imóvel,IPTU,2024,01,Dívida Corrente,1461.52,0.0,0.0,1461.52,0,8
102.243.0078.001,--,--,Imóvel,TSU,2024,01,Dívida Corrente,397.66,0.0,0.0,397.66,0,2
104.063.0283.001,30,14,Imóvel,IPTU,2024,01,Dívida Corrente,609.28,0.0,0.0,609.28,0,4
104.063.0283.001,30,14,Imóvel,TSU,2024,01,Dívida Corrente,93.8,0.0,0.0,93.8,0,1
104.063.0283.001,30,14,Imóvel,IPTU - DA,2021,01,Dívida Ativa,604.96,193.59,120.99,919.54,1,0
104.063.0283.001,30,14,Imóvel,TSU - DA,2021,01,Dívida Ativa,99.26,31.76,19.85,150.87,1,0
104.063.0283.001,30,14,Imóvel,IPTU - DA,2022,01,Dívida Ativa,609.29,127.95,121.86,859.1,1,0
104.063.0283.001,30,14,Imóvel,TSU - DA,2022,01,Dívida Ativa,89.89,18.88,17.98,126.75,1,0
104.063.0283.001,30,14,Imóvel,IPTU - DA,2023,01,Dívida Ativa,609.29,54.84,121.86,785.99,1,0
104.063.0283.001,30,14,Imóvel,TSU - DA,2023,01,Dívida Ativa,84.89,7.64,16.98,109.51,1,0
104.063.0283.002,30,14,Imóvel,IPTU,2024,01,Dívida Corrente,1363.84,0.0,0.0,1363.84,0,8
104.063.0283.002,30,14,Imóvel,TSU,2024,01,Dívida Corrente,209.95,0.0,0.0,209.95,0,1
104.433.0025.000,19,13,Imóvel,CIP,2024,01,Dívida Corrente,26.52,0.0,0.0,26.52,0,1
104.433.0025.000,19,13,Imóvel,ITU,2024,01,Dívida Corrente,2690.56,0.0,0.0,2690.56,0,8
104.433.0025.000,19,13,Imóvel,Capin. RoçaD.A,2022,10,Dívida Ativa,582.12,69.85,116.42,768.39,1,0
104.433.0025.000,19,13,Imóvel,Capin. RoçaD.A,2023,05,Dívida Ativa,618.5,37.11,123.7,779.31,1,0
104.433.0025.000,19,13,Imóvel,Capin. RoçaD.A,2023,11,Dívida Ativa,618.5,6.18,12.37,637.05,1,0
104.433.0041.000,19,12,Imóvel,CIP,2024,01,Dívida Corrente,26.52,0.0,0.0,26.52,0,1
104.433.0041.000,19,12,Imóvel,ITU,2024,01,Dívida Corrente,1786.96,0.0,0.0,1786.96,0,8
104.433.0041.000,19,12,Imóvel,Capin. RoçaD.A,2022,10,Dívida Ativa,418.84,50.26,83.77,552.87,1,0
104.433.0041.000,19,12,Imóvel,Capin. RoçaD.A,2023,11,Dívida Ativa,445.01,4.45,8.9,458.36,1,0
104.433.0041.000,19,12,Imóvel,Capin. RoçaD.A,2023,05,Dívida Ativa,445.01,26.7,89.0,560.71,1,0
104.433.0057.000,19,11,Imóvel,CIP,2024,01,Dívida Corrente,26.52,0.0,0.0,26.52,0,1
