Inscrição,Origem,Endereço,Tributo,Ano,Mês,Situação,Valor Atual,Juros,Multa,Total Divida,Vencidas,A Vencer
101.165.0706.000,Imóvel,Rua JOSE NETO PARANHOS         0 QD. 41 LT. 62 BAIRRO JUNDIAI,Parcelam/Div/Aj,2023,09,Dívida Parcelada,2327.45,14.19,18.89,2360.53,2,3
104.063.0283.001,Imóvel,Avenida PB 1          S/N QD: 30 LT: 14 PARQUE BRASILIA I E II ETAPA,IPTU,2023,01,Dívida Corrente,581.84,37.82,98.91,718.57,4,0
104.063.0283.001,Imóvel,Avenida PB 1          S/N QD: 30 LT: 14 PARQUE BRASILIA I E II ETAPA,TSU,2023,01,Dívida Corrente,81.06,6.48,16.21,103.75,1,0
104.063.0283.001,Imóvel,Avenida PB 1          S/N QD: 30 LT: 14 PARQUE BRASILIA I E II ETAPA,IPTU - DA,2021,01,Dívida Ativa,577.69,179.08,115.54,872.31,1,0
104.063.0283.001,Imóvel,Avenida PB 1          S/N QD: 30 LT: 14 PARQUE BRASILIA I E II ETAPA,TSU - DA,2021,01,Dívida Ativa,94.79,29.38,18.96,143.13,1,0
104.063.0283.001,Imóvel,Avenida PB 1          S/N QD: 30 LT: 14 PARQUE BRASILIA I E II ETAPA,IPTU - DA,2022,01,Dívida Ativa,581.83,116.37,116.37,814.57,1,0
104.063.0283.001,Imóvel,Avenida PB 1          S/N QD: 30 LT: 14 PARQUE BRASILIA I E II ETAPA,TSU - DA,2022,01,Dívida Ativa,85.84,17.17,17.17,120.18,1,0
104.433.0025.000,Imóvel,Avenida CEREJEIRAS         0 QD- 19 LT- 13 RESIDENCIAL CEREJEIRAS,Capinação e Roç,2023,05,Dívida Corrente,590.62,29.53,47.25,667.40,1,0
104.433.0025.000,Imóvel,Avenida CEREJEIRAS         0 QD- 19 LT- 13 RESIDENCIAL CEREJEIRAS,Capinação e Roç,2023,11,Dívida Corrente,590.62,0.0,0.0,590.62,0,1
104.433.0025.000,Imóvel,Avenida CEREJEIRAS         0 QD- 19 LT- 13 RESIDENCIAL CEREJEIRAS,Capin. RoçaD.A,2022,10,Dívida Ativa,555.88,61.15,111.18,728.21,1,0
104.433.0041.000,Imóvel,Avenida CEREJEIRAS         0 QD- 19 LT- 12 RESIDENCIAL CEREJEIRAS,Capinação e Roç,2023,11,Dívida Corrente,424.95,0.0,0.0,424.95,0,1
104.433.0041.000,Imóvel,Avenida CEREJEIRAS         0 QD- 19 LT- 12 RESIDENCIAL CEREJEIRAS,Capinação e Roç,2023,05,Dívida Corrente,424.95,21.25,34.0,480.20,1,0
104.433.0041.000,Imóvel,Avenida CEREJEIRAS         0 QD- 19 LT- 12 RESIDENCIAL CEREJEIRAS,Capin. RoçaD.A,2022,10,Dívida Ativa,399.96,44.0,79.99,523.95,1,0
104.433.0057.000,Imóvel,Avenida CEREJEIRAS         0 QD- 19 LT- 11 RESIDENCIAL CEREJEIRAS,Capinação e Roç,2023,05,Dívida Corrente,431.12,21.56,34.49,487.17,1,0
104.433.0057.000,Imóvel,Avenida CEREJEIRAS         0 QD- 19 LT- 11 RESIDENCIAL CEREJEIRAS,Capinação e Roç,2023,11,Dívida Corrente,431.12,0.0,0.0,431.12,0,1
104.433.0057.000,Imóvel,Avenida CEREJEIRAS         0 QD- 19 LT- 11 RESIDENCIAL CEREJEIRAS,Capin. RoçaD.A,2022,10,Dívida Ativa,405.76,44.63,81.15,531.54,1,0
105.279.0351.002,Imóvel,Avenida UNIVERSITARIA      2045 SALA: 02 RESIDENCIAL ARAUJOVILLE,Parcelamento DA,2023,09,Dívida Parcelada,3109.6,4.63,18.44,3132.67,2,5
105.322.0262.000,Imóvel,Rua TARSILA DO AMARAL         0 QD.13  LT.17 CONDOMÍNO RESIDENCIAL  BELAS ARTES,CIP - DA,2022,01,Dívida Ativa,24.27,4.85,4.85,33.97,1,0
105.322.0262.000,Imóvel,Rua TARSILA DO AMARAL         0 QD.13  LT.17 CONDOMÍNO RESIDENCIAL  BELAS ARTES,ITU - DA,2022,01,Dívida Ativa,3498.6,699.72,699.72,4898.04,1,0
105.350.0307.000,Imóvel,Rua GT 16         0 QD. 23 LT. 19 CONDOMÍNIO RESIDENCIAL GRAND TRIANON,CIP,2023,01,Dívida Corrente,26.52,2.12,5.3,33.94,1,0
105.350.0307.000,Imóvel,Rua GT 16         0 QD. 23 LT. 19 CONDOMÍNIO RESIDENCIAL GRAND TRIANON,ITU,2023,01,Dívida Corrente,2044.64,92.01,240.27,2376.92,8,0
105.373.0166.000,Imóvel,Avenida CAMPOS DO JORDAO 01         0 QD.02 LT. 14 RESIDENCIAL CAMPOS DO JORDAO,CIP,2023,01,Dívida Corrente,26.52,2.12,5.3,33.94,1,0
105.373.0166.000,Imóvel,Avenida CAMPOS DO JORDAO 01         0 QD.02 LT. 14 RESIDENCIAL CAMPOS DO JORDAO,ITU,2023,01,Dívida Corrente,1283.52,57.76,150.84,1492.12,8,0
105.373.0334.000,Imóvel,Rua CJ-18         0 QD.02 LT. 23 RESIDENCIAL CAMPOS DO JORDAO,CIP - DA,2022,01,Dívida Ativa,24.27,3.88,4.85,33.00,1,0
105.373.0334.000,Imóvel,Rua CJ-18         0 QD.02 LT. 23 RESIDENCIAL CAMPOS DO JORDAO,ITU - DA,2022,01,Dívida Ativa,1283.51,205.36,256.7,1745.57,1,0
105.373.0358.000,Imóvel,Rua CJ-18         0 QD.02 LT. 25 RESIDENCIAL CAMPOS DO JORDAO,CIP,2023,01,Dívida Corrente,26.52,2.12,5.3,33.94,1,0
105.373.0358.000,Imóvel,Rua CJ-18         0 QD.02 LT. 25 RESIDENCIAL CAMPOS DO JORDAO,ITU,2023,01,Dívida Corrente,1283.52,57.76,150.84,1492.12,8,0
105.374.0090.000,Imóvel,Avenida CJ-02         0 QD.03 LT. 07 RESIDENCIAL CAMPOS DO JORDAO,CIP,2023,01,Dívida Corrente,26.52,2.12,5.3,33.94,1,0
105.374.0090.000,Imóvel,Avenida CJ-02         0 QD.03 LT. 07 RESIDENCIAL CAMPOS DO JORDAO,ITU,2023,01,Dívida Corrente,1283.52,57.76,150.84,1492.12,8,0
105.374.0330.000,Imóvel,Rua CJ-18         0 QD.03 LT. 24 RESIDENCIAL CAMPOS DO JORDAO,CIP,2023,01,Dívida Corrente,26.52,2.12,5.3,33.94,1,0
105.374.0330.000,Imóvel,Rua CJ-18         0 QD.03 LT. 24 RESIDENCIAL CAMPOS DO JORDAO,ITU,2023,01,Dívida Corrente,1283.52,57.76,150.84,1492.12,8,0
105.374.0330.000,Imóvel,Rua CJ-18         0 QD.03 LT. 24 RESIDENCIAL CAMPOS DO JORDAO,CIP - DA,2022,01,Dívida Ativa,24.27,3.88,4.85,33.00,1,0
105.374.0330.000,Imóvel,Rua CJ-18         0 QD.03 LT. 24 RESIDENCIAL CAMPOS DO JORDAO,ITU - DA,2022,01,Dívida Ativa,1283.51,205.36,256.7,1745.57,1,0
105.377.0199.000,Imóvel,Avenida AV. CJ-01         0 QD.06 LT. 13 RESIDENCIAL CAMPOS DO JORDAO,CIP,2023,01,Dívida Corrente,26.52,2.12,5.3,33.94,1,0
105.377.0199.000,Imóvel,Avenida AV. CJ-01         0 QD.06 LT. 13 RESIDENCIAL CAMPOS DO JORDAO,ITU,2023,01,Dívida Corrente,2346.96,105.61,275.76,2728.33,8,0
105.377.0199.000,Imóvel,Avenida AV. CJ-01         0 QD.06 LT. 13 RESIDENCIAL CAMPOS DO JORDAO,CIP - DA,2022,01,Dívida Ativa,24.27,3.88,4.85,33.00,1,0
105.377.0199.000,Imóvel,Avenida AV. CJ-01         0 QD.06 LT. 13 RESIDENCIAL CAMPOS DO JORDAO,ITU - DA,2022,01,Dívida Ativa,2346.91,375.51,469.38,3191.80,1,0
105.377.0235.000,Imóvel,Avenida AV. CJ-01         0 QD.06 LT. 16 RESIDENCIAL CAMPOS DO JORDAO,CIP,2023,01,Dívida Corrente,26.52,2.12,5.3,33.94,1,0
105.377.0235.000,Imóvel,Avenida AV. CJ-01         0 QD.06 LT. 16 RESIDENCIAL CAMPOS DO JORDAO,ITU,2023,01,Dívida Corrente,1283.52,57.76,150.84,1492.12,8,0
105.377.0235.000,Imóvel,Avenida AV. CJ-01         0 QD.06 LT. 16 RESIDENCIAL CAMPOS DO JORDAO,CIP - DA,2022,01,Dívida Ativa,24.27,3.88,4.85,33.00,1,0
